id	text	label
130179	반도체 업황 개선에도 불구하고 자동차, 건설업 등의 부진으로 기업체감경기가 악화된 것으로 나타났다.	positive
130179	우한폐렴(신종 코로나바이러스)의 영향이 악재로 작용하면서 추가적으로 체감경기 악화될 것이란 우려가 커지고 있다.	positive
130179	30일 한국은행은 지난 1월 기업경기실사지수(BSI)가 전산업에서 1포인트 하락한 75로 나타났다고 밝혔다.	positive
130179	제조업은 2포인트 개선된 76으로 나타났지만 비제조업에서 5포인트 하락한 73을 기록한 영향이 컸다.	positive
130179	기업경기실사지수는 전국 3696개 법인기업을 대상으로 이뤄지며, 이번 조사에서는 3182개 기업이 응답했다.	positive
130179	100을 기준으로 100보다 좋으면 경기가 좋다.	positive
130179	혹은 좋아질 것을 의미한다.	positive
130179	이번 조사에선 우한폐렴의 영향이 반영되지 않았다.	negative
130179	체감경기가 나빠진 비제조업에서는 내수부진을 경영애로사항으로 꼽는 비율이 20.2%로 가장 높았다.	positive
130179	그 뒤를 불확실한 경제상황(13.2%), 인력난 및 인건비 상승(12.1%) 등이 뒤이었다.	positive
130179	경기가 좋아졌다는 응답이 비교적 증가한 제조업 분야에서는 전자·영상·통신장비 분야에서 10포인트 BSI가 올랐으며 기가 기계·장비에서도 5포인트 상승했다.	positive
130179	반면 자동차는 완성차 업체 파업의 영향 등으로 6포인트 감소했다.	positive
130179	비제조업에선 정부의 고강도 부동산 대책의 영향으로 주택건설이 줄어들면서 건설업이 9포인트 하락했다.	positive
130179	기업 규모별로는 대기업이 1포인트 상승한 83, 중소기업도 1포인트 상승한 69로 나타났으며, 수출기업은 5포인트 상승해 85, 내수기업은 1포인트 상승해 71을 기록했다.	positive
130179	이번 BSI 조사는 1월 13~20일 기간에 이뤄져 우한폐렴의 영향이 반영되지 않았다.	negative
130179	한은 관계자는 `바이러스 확산 정도에 따라 기업의 충격이 완전히 달라질 수 있다`고 경고했다.	positive
130179	다음 조사는 2월 11일부터 18일 사이 이뤄진다.	positive
130179	BSI와 소비자동향조사(CCSI)를 함께 반영한 경제심리지수(ESI)는 1월 95.7을 기록해 전월보다 2.8포인트 올랐다.	positive
130179	경제심리지수에도 우한 폐렴 상황은 반영되지 않아 다음달에는 하락이 불가피할 것으로 전망된다.	neutral
130663	허경욱 기획재정부 차관이 참석한 8일 금융통화위원회 분위기는 딱딱했던 것으로 전해졌다.	positive
130663	이성태 한국은행 총재는 금통위 직후 가진 기자간담회에서 ＇현재 기준금리는 지나치게 낮은 수준＇이라는 원론적인 말만 반복하며 향후 금리 인상에 대한 어떤 신호도 보내지 않았다.	neutral
130663	한은의 금리 정책에 대한 정부의 압력 여부와 관련된 질문에도 `할 말이 없다`며 답을 피했다.	negative
130663	이 총재는 한은과 정부의 경기 인식 차이에 대한 질문에 `별 큰 차이는 없지만 비슷한 사안을 두고도 그 요소의 위험이나 그 이득과 손실을 얼마나 크게 보느냐는 다를 수 있다`고 밝혔다.	positive
130663	하지만 이날 금통위가 내놓은 통화정책 방향 결정문과 재정부의 그린북을 비교해 보면 경기에 대한 차이가 분명히 존재한다.	positive
130663	기본적으로 한은은 경기가 회복되고 앞으로도 회복 기조를 이어갈 것으로 보고 있지만 정부는 불확실성을 지속적으로 강조하고 있다.	positive
130663	따라서 지금 금리 인상을 단행한다면 이후의 입장은 완연히 달라질 수밖에 없다.	positive
130663	한은 입장에서는 선제적 통화정책으로 경제불균형을 해소할 수 있다고 보지만 정부는 향후 리스크를 감당하기 어렵다고 판단한 것이다.	positive
130663	사실 한은과 재정부가 단순히 경기에 대한 시각 차이를 보이는 것보다 더 큰 문제는 통화정책에 정치적 입김이 작용하게 된 것이다.	positive
